"alpha","method"
0.0100857093930244,"SpIR"
0.67458906583488,"SpIR"
0.0596444967668503,"SpIR"
0.0392273063771427,"SpIR"
0.742840898688883,"SpIR"
0.092254965333268,"SpIR"
0.853982816915959,"SpIR"
0.092254965333268,"SpIR"
0.749940015142784,"SpIR"
0.459617983084172,"SpIR"
0.534887741087005,"SpIR"
0.509867046959698,"SpIR"
0.61715684318915,"SpIR"
0.0273093830328435,"SpIR"
0.613100413233042,"SpIR"
0.649424421833828,"SpIR"
0.552271291613579,"SpIR"
0.0652056306134909,"SpIR"
0.0681401351466775,"SpIR"
0.15761358384043,"SpIR"
0.00963663985021412,"SpIR"
0.463735051685944,"SpIR"
0.411756926449016,"SpIR"
0.545302741695195,"SpIR"
0.186707598390058,"SpIR"
0.671065647853538,"SpIR"
0.171595486113802,"SpIR"
0.674554708180949,"SpIR"
0.25136880739592,"SpIR"
0.689496860606596,"SpIR"
0.285140559310094,"SpIR"
0.213916030479595,"SpIR"
0.179830364650115,"SpIR"
0.419037483399734,"SpIR"
0.239543354371563,"SpIR"
0.179830364650115,"SpIR"
0.742827807320282,"SpIR"
0.374462256906554,"SpIR"
0.242423644289374,"SpIR"
0.239543354371563,"SpIR"
0.281379319727421,"SpIR"
0.25136880739592,"SpIR"
0.498070272617042,"SpIR"
0.148514934582636,"SpIR"
0.390271850861609,"SpIR"
0.179830364650115,"SpIR"
0.835441697388887,"SpIR"
0.141990861389786,"SpIR"
0.671446147141978,"SpIR"
0.476128949550912,"SpIR"
0.184500535484403,"SpIR"
0.287998431362212,"SpIR"
0.671065647853538,"SpIR"
0.646769864484668,"SpIR"
0.275544684613124,"SpIR"
0.394663941347972,"SpIR"
0.167323120636866,"SpIR"
0.539044281002134,"SpIR"
0.0499026116449386,"SpIR"
0.847353274933994,"SpIR"
0.249851528787985,"SpIR"
0.0141131186392158,"SpIR"
0.823432869045064,"SpIR"
0.329232051270083,"SpIR"
0.739781729411334,"SpIR"
0.977470736717805,"SpIR"
0.540997709147632,"SpIR"
0.238512329291552,"SpIR"
0.819942175410688,"SpIR"
0.238512329291552,"SpIR"
0.727687364444137,"SpIR"
0.363454130711034,"SpIR"
0.221673786174506,"SpIR"
0.513877243967727,"SpIR"
0.702050760621205,"SpIR"
0.403082177508622,"SpIR"
0.480729656293988,"SpIR"
0.481425003381446,"SpIR"
0.421087144641206,"SpIR"
0.459617983084172,"SpIR"
0.651847562287003,"SpIR"
0.21415330376476,"SpIR"
0.141990861389786,"SpIR"
0.0500479033216834,"SpIR"
0.0731155090034008,"SpIR"
0.136026804801077,"SpIR"
0.156121486099437,"SpIR"
0.667647802038118,"SpIR"
0.0652056306134909,"SpIR"
0.261805856134742,"SpIR"
0.25136880739592,"SpIR"
0.268365563126281,"SpIR"
0.1388794190716,"SpIR"
0.698858692543581,"SpIR"
0.131132688373327,"SpIR"
0.261805856134742,"SpIR"
0.34435830404982,"SpIR"
0.0104499780572951,"SpIR"
0.157622405560687,"SpIR"
0.749940015142784,"SpIR"
0.572983334073797,"SpIR"
0.421087144641206,"SpIR"
0.0928192685823887,"SpIR"
0.0588364661671221,"SpIR"
0.123439537361264,"SpIR"
0.593203196302056,"SpIR"
0.133168827742338,"SpIR"
0.0499026116449386,"SpIR"
0.553770702099428,"SpIR"
0.749940015142784,"SpIR"
0.783420561812818,"SpIR"
0.751863897778094,"SpIR"
0.322681211866438,"SpIR"
0.617237808182836,"SpIR"
0.253934503067285,"SpIR"
0.0278839387465268,"SpIR"
0.201116190990433,"SpIR"
0.0100857093930244,"SpIR"
0.613100413233042,"SpIR"
0.000260298373177648,"SpIR"
0.287190086906776,"SpIR"
0.783420561812818,"SpIR"
0.217971050180495,"SpIR"
0.607853390974924,"SpIR"
0.253272620495409,"SpIR"
0.424292862648144,"SpIR"
0.253272620495409,"SpIR"
0.539044281002134,"SpIR"
0.169961201259866,"SpIR"
0.319015089422464,"SpIR"
0.383208961226046,"SpIR"
0.0557051463983953,"SpIR"
0.915238186251372,"SpIR"
0.667647802038118,"SpIR"
0.5493012748193,"SpIR"
0.201116190990433,"SpIR"
0.627620213199407,"SpIR"
0.850518150022254,"SpIR"
0.078349947463721,"SpIR"
0.0894777632784098,"SpIR"
0.591705458238721,"SpIR"
0.994912636699155,"SpIR"
0.458270993316546,"SpIR"
0.00994064193218947,"SpIR"
0.0652056306134909,"SpIR"
0.123667652253062,"SpIR"
0.644440159434453,"SpIR"
0.924010182498023,"SpIR"
0.253272620495409,"SpIR"
0.659765787888318,"SpIR"
0.644440159434453,"SpIR"
0.644440159434453,"SpIR"
0.742840898688883,"SpIR"
0.217971050180495,"SpIR"
0.633562915259972,"SpIR"
0.0900841187685728,"SpIR"
0.23799762642011,"SpIR"
0.0880574428010732,"SpIR"
0.111301996745169,"SpIR"
0.281206360086799,"SpIR"
0.539044281002134,"SpIR"
0.562967662001029,"SpIR"
0.150432782480493,"SpIR"
0.268192349933088,"SpIR"
0.83292063488625,"SpIR"
0.661613787291571,"SpIR"
0.15761358384043,"SpIR"
0.141990861389786,"SpIR"
0.0652056306134909,"SpIR"
0.357083422131836,"SpIR"
0.00726307183504104,"SpIR"
0.363351122476161,"SpIR"
0.223079689778388,"SpIR"
0.0698849956970662,"SpIR"
0.0596444967668503,"SpIR"
0.15761358384043,"SpIR"
0.156121486099437,"SpIR"
0.681185713969171,"SpIR"
0.150432782480493,"SpIR"
0.603189903078601,"SpIR"
0.741160603938624,"SpIR"
0.768009064951912,"SpIR"
0.0652056306134909,"SpIR"
0.521617392543703,"SpIR"
0.192899585003033,"SpIR"
0.716666004620492,"SpIR"
0.156121486099437,"SpIR"
0.238512329291552,"SpIR"
0.119580448837951,"SpIR"
0.751863897778094,"SpIR"
0.703159507829696,"SpIR"
0.285140559310094,"SpIR"
0.735323296161368,"SpIR"
0.316588560352102,"SpIR"
0.914085615891963,"SpIR"
0.613100413233042,"SpIR"
