"phi","dens","study","distribution"
0.235235235235235,3.88891681249708e-28,"study_0","Beta"
0.236236236236236,2.09756285110591e-28,"study_0","Beta"
0.237237237237237,1.12927619878106e-28,"study_0","Beta"
0.238238238238238,6.06856370712603e-29,"study_0","Beta"
0.239239239239239,3.25517131635771e-29,"study_0","Beta"
0.24024024024024,1.74287236185167e-29,"study_0","Beta"
0.241241241241241,9.31456717774624e-30,"study_0","Beta"
0.242242242242242,4.96897331034485e-30,"study_0","Beta"
0.243243243243243,2.64593410327564e-30,"study_0","Beta"
0.244244244244244,1.40637522470809e-30,"study_0","Beta"
0.245245245245245,7.46164570469263e-31,"study_0","Beta"
0.246246246246246,3.95166979713364e-31,"study_0","Beta"
0.247247247247247,2.08901045993673e-31,"study_0","Beta"
0.248248248248248,1.10234065503992e-31,"study_0","Beta"
0.249249249249249,5.80640791112421e-32,"study_0","Beta"
0.25025025025025,3.05293105680987e-32,"study_0","Beta"
0.251251251251251,1.60230571536512e-32,"study_0","Beta"
0.252252252252252,8.39448112436346e-33,"study_0","Beta"
0.253253253253253,4.3899901703642e-33,"study_0","Beta"
0.254254254254254,2.29168829517067e-33,"study_0","Beta"
0.255255255255255,1.19418307618723e-33,"study_0","Beta"
0.256256256256256,6.21170282738885e-34,"study_0","Beta"
0.257257257257257,3.22534232539193e-34,"study_0","Beta"
0.258258258258258,1.67173451675459e-34,"study_0","Beta"
0.259259259259259,8.64940199769433e-35,"study_0","Beta"
0.26026026026026,4.46717568772707e-35,"study_0","Beta"
0.261261261261261,2.30308003272646e-35,"study_0","Beta"
0.262262262262262,1.18526350220357e-35,"study_0","Beta"
0.263263263263263,6.08907726122243e-36,"study_0","Beta"
0.264264264264264,3.1226228101889e-36,"study_0","Beta"
0.265265265265265,1.5985263131861e-36,"study_0","Beta"
0.266266266266266,8.16870080182576e-37,"study_0","Beta"
0.267267267267267,4.16696466507163e-37,"study_0","Beta"
0.268268268268268,2.12188057612595e-37,"study_0","Beta"
0.269269269269269,1.0785914713923e-37,"study_0","Beta"
0.27027027027027,5.47303919185845e-38,"study_0","Beta"
0.271271271271271,2.77227459123786e-38,"study_0","Beta"
0.272272272272272,1.40178236737114e-38,"study_0","Beta"
0.273273273273273,7.07558133322995e-39,"study_0","Beta"
0.274274274274274,3.56517905594747e-39,"study_0","Beta"
0.275275275275275,1.7932412542806e-39,"study_0","Beta"
0.276276276276276,9.00398364710734e-40,"study_0","Beta"
0.277277277277277,4.5130453171521e-40,"study_0","Beta"
0.278278278278278,2.25810486270177e-40,"study_0","Beta"
0.279279279279279,1.12786806678799e-40,"study_0","Beta"
0.28028028028028,5.6235766889097e-41,"study_0","Beta"
0.281281281281281,2.79902893783805e-41,"study_0","Beta"
0.282282282282282,1.39073022686107e-41,"study_0","Beta"
0.283283283283283,6.89793992860166e-42,"study_0","Beta"
0.284284284284284,3.41536541090502e-42,"study_0","Beta"
0.285285285285285,1.68809319361838e-42,"study_0","Beta"
0.286286286286286,8.32908577503212e-43,"study_0","Beta"
0.287287287287287,4.10241977722634e-43,"study_0","Beta"
0.288288288288288,2.01708805407207e-43,"study_0","Beta"
0.289289289289289,9.90037723005765e-44,"study_0","Beta"
0.29029029029029,4.85088364728899e-44,"study_0","Beta"
0.291291291291291,2.37264238698852e-44,"study_0","Beta"
0.292292292292292,1.15847344425404e-44,"study_0","Beta"
0.293293293293293,5.64653844272312e-45,"study_0","Beta"
0.294294294294294,2.7473938307805e-45,"study_0","Beta"
0.295295295295295,1.33444894957721e-45,"study_0","Beta"
0.296296296296296,6.47031458735638e-46,"study_0","Beta"
