"phi","dens","method","distribution"
0.192192192192192,0.25220750621996,"equal_weights","Beta"
0.193193193193193,0.204816488632837,"equal_weights","Beta"
0.194194194194194,0.165686014052202,"equal_weights","Beta"
0.195195195195195,0.133515848719413,"equal_weights","Beta"
0.196196196196196,0.107180958258126,"equal_weights","Beta"
0.197197197197197,0.0857140274442098,"equal_weights","Beta"
0.198198198198198,0.0682884146697431,"equal_weights","Beta"
0.199199199199199,0.0542018663480134,"equal_weights","Beta"
0.2002002002002,0.0428612234313287,"equal_weights","Beta"
0.201201201201201,0.0337682724756079,"equal_weights","Beta"
0.202202202202202,0.0265068271227965,"equal_weights","Beta"
0.203203203203203,0.0207310718339695,"equal_weights","Beta"
0.204204204204204,0.0161551571984491,"equal_weights","Beta"
0.205205205205205,0.0125440039545459,"equal_weights","Beta"
0.206206206206206,0.00970524965927151,"equal_weights","Beta"
0.207207207207207,0.00748225638246557,"equal_weights","Beta"
0.208208208208208,0.00574808855604723,"equal_weights","Beta"
0.209209209209209,0.00440036594562641,"equal_weights","Beta"
0.21021021021021,0.00335689650774104,"equal_weights","Beta"
0.211211211211211,0.00255199666231796,"equal_weights","Beta"
0.212212212212212,0.00193341139698722,"equal_weights","Beta"
0.213213213213213,0.00145975291693566,"equal_weights","Beta"
0.214214214214214,0.00109838368224618,"equal_weights","Beta"
0.215215215215215,0.000823677176263577,"equal_weights","Beta"
0.216216216216216,0.000615597273021414,"equal_weights","Beta"
0.217217217217217,0.000458544361600291,"equal_weights","Beta"
0.218218218218218,0.000340423261046076,"equal_weights","Beta"
0.219219219219219,0.000251894305761312,"equal_weights","Beta"
0.22022022022022,0.000185774733713303,"equal_weights","Beta"
0.221221221221221,0.000136562643407268,"equal_weights","Beta"
0.222222222222222,0.000100060304749831,"equal_weights","Beta"
0.223223223223223,7.30775389730698e-05,"equal_weights","Beta"
0.224224224224224,5.31992629589026e-05,"equal_weights","Beta"
0.225225225225225,3.86041712684461e-05,"equal_weights","Beta"
0.226226226226226,2.79239567389122e-05,"equal_weights","Beta"
0.227227227227227,2.01345003693549e-05,"equal_weights","Beta"
0.228228228228228,1.44721446915123e-05,"equal_weights","Beta"
0.229229229229229,1.03695502700709e-05,"equal_weights","Beta"
