"phi","dens","study","distribution"
0.188188188188188,8.11892466198832e-33,"study_0","Gaussian"
0.189189189189189,2.24408226074479e-33,"study_0","Gaussian"
0.19019019019019,6.13748041673332e-34,"study_0","Gaussian"
0.191191191191191,1.66093467390432e-34,"study_0","Gaussian"
0.192192192192192,4.44760356065752e-35,"study_0","Gaussian"
0.193193193193193,1.1784486748667e-35,"study_0","Gaussian"
0.194194194194194,3.08962920032707e-36,"study_0","Gaussian"
0.195195195195195,8.01517732734916e-37,"study_0","Gaussian"
0.196196196196196,2.05745807671769e-37,"study_0","Gaussian"
0.197197197197197,5.22588609809047e-38,"study_0","Gaussian"
0.198198198198198,1.31340894662686e-38,"study_0","Gaussian"
0.199199199199199,3.26626251127884e-39,"study_0","Gaussian"
0.2002002002002,8.0373575312949e-40,"study_0","Gaussian"
0.201201201201201,1.95698084481866e-40,"study_0","Gaussian"
0.202202202202202,4.7148832933961e-41,"study_0","Gaussian"
0.203203203203203,1.1240002430071e-41,"study_0","Gaussian"
0.204204204204204,2.65138593753869e-42,"study_0","Gaussian"
0.205205205205205,6.18857384363545e-43,"study_0","Gaussian"
0.206206206206206,1.42928650028038e-43,"study_0","Gaussian"
0.207207207207207,3.26632271880861e-44,"study_0","Gaussian"
0.208208208208208,7.38601145648697e-45,"study_0","Gaussian"
0.209209209209209,1.65261597959949e-45,"study_0","Gaussian"
0.21021021021021,3.6588533592361e-46,"study_0","Gaussian"
0.211211211211211,8.01547282011635e-47,"study_0","Gaussian"
0.212212212212212,1.7374982387504e-47,"study_0","Gaussian"
0.213213213213213,3.72675365223422e-48,"study_0","Gaussian"
0.214214214214214,7.90948276310448e-49,"study_0","Gaussian"
0.215215215215215,1.66102652440616e-49,"study_0","Gaussian"
0.216216216216216,3.45156563834311e-50,"study_0","Gaussian"
0.217217217217217,7.09686904369937e-51,"study_0","Gaussian"
0.218218218218218,1.44387145809761e-51,"study_0","Gaussian"
0.219219219219219,2.90670767329691e-52,"study_0","Gaussian"
0.22022022022022,5.79008938412137e-53,"study_0","Gaussian"
0.221221221221221,1.1412486182281e-53,"study_0","Gaussian"
0.222222222222222,2.22580106944384e-54,"study_0","Gaussian"
0.223223223223223,4.29539902526873e-55,"study_0","Gaussian"
0.224224224224224,8.20222667585647e-56,"study_0","Gaussian"
0.225225225225225,1.54978376012454e-56,"study_0","Gaussian"
0.226226226226226,2.89748722365194e-57,"study_0","Gaussian"
0.227227227227227,5.36022523575498e-58,"study_0","Gaussian"
0.228228228228228,9.81195694741611e-59,"study_0","Gaussian"
0.229229229229229,1.77721231646203e-59,"study_0","Gaussian"
0.23023023023023,3.18518073412233e-60,"study_0","Gaussian"
0.231231231231231,5.64858842214638e-61,"study_0","Gaussian"
0.232232232232232,9.91189900708227e-62,"study_0","Gaussian"
0.233233233233233,1.72101593152907e-62,"study_0","Gaussian"
0.234234234234234,2.9568139492746e-63,"study_0","Gaussian"
0.235235235235235,5.02659843461027e-64,"study_0","Gaussian"
0.236236236236236,8.45542555879966e-65,"study_0","Gaussian"
0.237237237237237,1.40736852675339e-65,"study_0","Gaussian"
0.238238238238238,2.31788179392111e-66,"study_0","Gaussian"
0.239239239239239,3.7773377544702e-67,"study_0","Gaussian"
0.24024024024024,6.09103983948623e-68,"study_0","Gaussian"
0.241241241241241,9.71869932468416e-69,"study_0","Gaussian"
0.242242242242242,1.53439063023604e-69,"study_0","Gaussian"
0.243243243243243,2.3970374258719e-70,"study_0","Gaussian"
0.244244244244244,3.70531195317295e-71,"study_0","Gaussian"
0.245245245245245,5.66742557290789e-72,"study_0","Gaussian"
0.246246246246246,8.57744533656134e-73,"study_0","Gaussian"
0.247247247247247,1.28452090913655e-73,"study_0","Gaussian"
0.248248248248248,1.90342374366788e-74,"study_0","Gaussian"
0.249249249249249,2.79087812988254e-75,"study_0","Gaussian"
0.25025025025025,4.04908923393417e-76,"study_0","Gaussian"
0.251251251251251,5.81279368601117e-77,"study_0","Gaussian"
0.252252252252252,8.25702415672731e-78,"study_0","Gaussian"
0.253253253253253,1.16057520273781e-78,"study_0","Gaussian"
0.254254254254254,1.61411362836441e-79,"study_0","Gaussian"
0.255255255255255,2.22129381428009e-80,"study_0","Gaussian"
0.256256256256256,3.02474658809763e-81,"study_0","Gaussian"
0.257257257257257,4.07552038088521e-82,"study_0","Gaussian"
0.258258258258258,5.43360706060144e-83,"study_0","Gaussian"
0.259259259259259,7.16810689748441e-84,"study_0","Gaussian"
0.26026026026026,9.35689602408691e-85,"study_0","Gaussian"
0.261261261261261,1.20856557405333e-85,"study_0","Gaussian"
0.262262262262262,1.54461312346086e-86,"study_0","Gaussian"
0.263263263263263,1.95335108033515e-87,"study_0","Gaussian"
0.264264264264264,2.44428576871113e-88,"study_0","Gaussian"
0.265265265265265,3.02645859575304e-89,"study_0","Gaussian"
0.266266266266266,3.70790484052796e-90,"study_0","Gaussian"
0.267267267267267,4.49503945905392e-91,"study_0","Gaussian"
0.268268268268268,5.39199551800519e-92,"study_0","Gaussian"
0.269269269269269,6.39995060438738e-93,"study_0","Gaussian"
0.27027027027027,7.51648520685267e-94,"study_0","Gaussian"
0.271271271271271,8.73502349684179e-95,"study_0","Gaussian"
0.272272272272272,1.00444100409643e-95,"study_0","Gaussian"
0.273273273273273,1.14286747950533e-96,"study_0","Gaussian"
0.274274274274274,1.28670326177133e-97,"study_0","Gaussian"
0.275275275275275,1.43341522922865e-98,"study_0","Gaussian"
0.276276276276276,1.58007139981763e-99,"study_0","Gaussian"
0.277277277277277,1.72342542462574e-100,"study_0","Gaussian"
0.278278278278278,1.86002749649602e-101,"study_0","Gaussian"
0.279279279279279,1.98635706177309e-102,"study_0","Gaussian"
0.28028028028028,2.09897061434018e-103,"study_0","Gaussian"
0.281281281281281,2.19465613679932e-104,"study_0","Gaussian"
0.282282282282282,2.2705846342216e-105,"study_0","Gaussian"
0.283283283283283,2.32444883324856e-106,"study_0","Gaussian"
0.284284284284284,2.35457957547583e-107,"study_0","Gaussian"
0.285285285285285,2.3600317173365e-108,"study_0","Gaussian"
0.286286286286286,2.34063336958312e-109,"study_0","Gaussian"
0.287287287287287,2.29699489754311e-110,"study_0","Gaussian"
0.288288288288288,2.23047702470268e-111,"study_0","Gaussian"
0.289289289289289,2.14312036503725e-112,"study_0","Gaussian"
0.29029029029029,2.03754147520085e-113,"study_0","Gaussian"
0.291291291291291,1.91680281209374e-114,"study_0","Gaussian"
0.292292292292292,1.78426560358266e-115,"study_0","Gaussian"
0.293293293293293,1.64343546383193e-116,"study_0","Gaussian"
0.294294294294294,1.49781056949171e-117,"study_0","Gaussian"
0.295295295295295,1.35074140551337e-118,"study_0","Gaussian"
0.296296296296296,1.20530961311712e-119,"study_0","Gaussian"
0.297297297297297,1.06423150956666e-120,"study_0","Gaussian"
0.298298298298298,9.2978961617461e-122,"study_0","Gaussian"
0.299299299299299,8.03793251468305e-123,"study_0","Gaussian"
0.3003003003003,6.87567127539716e-124,"study_0","Gaussian"
0.301301301301301,5.81965098255087e-125,"study_0","Gaussian"
0.302302302302302,4.87404865448978e-126,"study_0","Gaussian"
0.303303303303303,4.03918612607777e-127,"study_0","Gaussian"
0.304304304304304,3.31214207186013e-128,"study_0","Gaussian"
0.305305305305305,2.68741745747753e-129,"study_0","Gaussian"
0.306306306306306,2.15760726737373e-130,"study_0","Gaussian"
0.307307307307307,1.71403917628241e-131,"study_0","Gaussian"
0.308308308308308,1.34734922592782e-132,"study_0","Gaussian"
0.309309309309309,1.0479744532658e-133,"study_0","Gaussian"
0.31031031031031,8.06551865509572e-135,"study_0","Gaussian"
0.311311311311311,6.14221465213223e-136,"study_0","Gaussian"
0.312312312312312,4.62837740530446e-137,"study_0","Gaussian"
0.313313313313313,3.45098940052681e-138,"study_0","Gaussian"
0.314314314314314,2.54606549623049e-139,"study_0","Gaussian"
