"P0","MSYR","ROI","P1993","alpha","alpha_status","method"
15079.2,0.0184988,0.0174492,8424.82,0.5,"fixed","MCMC"
13376,0.0254301,0.024111,8186.32,0.5,"fixed","MCMC"
12524.1,0.0301399,0.028011,8215.84,0.5,"fixed","MCMC"
14470.7,0.0204977,0.0206456,7377.47,0.5,"fixed","MCMC"
12581.4,0.0298062,0.0270018,8437.19,0.5,"fixed","MCMC"
12536.4,0.0301014,0.0259318,8785.45,0.5,"fixed","MCMC"
13292.4,0.0258203,0.0252034,7851.6,0.5,"fixed","MCMC"
13528.7,0.0246633,0.0238114,8004.88,0.5,"fixed","MCMC"
12956.1,0.0276985,0.0236982,8959.57,0.5,"fixed","MCMC"
13894.5,0.0228899,0.0232561,7293.5,0.5,"fixed","MCMC"
15302.7,0.0177423,0.0169029,8276.57,0.5,"fixed","MCMC"
12920.4,0.027844,0.0256513,8377.57,0.5,"fixed","MCMC"
16196.9,0.0151009,0.0145081,7990.84,0.5,"fixed","MCMC"
16689.8,0.0138564,0.0132488,7914.91,0.5,"fixed","MCMC"
14824,0.0193267,0.0185079,8197.16,0.5,"fixed","MCMC"
13587,0.0244462,0.0224575,8540.38,0.5,"fixed","MCMC"
13978,0.0227054,0.0207348,8673.54,0.5,"fixed","MCMC"
14444,0.0207399,0.0197707,8243.71,0.5,"fixed","MCMC"
15673.4,0.0165309,0.0160262,7920.69,0.5,"fixed","MCMC"
16812.9,0.0140983,0.0124036,9564.7,0.5,"fixed","MCMC"
15049.2,0.0184171,0.0183084,7528.97,0.5,"fixed","MCMC"
12931.4,0.027721,0.0277303,7523.33,0.5,"fixed","MCMC"
13968.5,0.0227544,0.020663,8727.47,0.5,"fixed","MCMC"
14867.2,0.0192953,0.0176732,8787.86,0.5,"fixed","MCMC"
16313.2,0.0149707,0.0139691,8584.07,0.5,"fixed","MCMC"
13220.4,0.0262946,0.0228546,8923.1,0.5,"fixed","MCMC"
13054.4,0.0271287,0.0245461,8561.85,0.5,"fixed","MCMC"
15709.4,0.0167574,0.0149833,9202.59,0.5,"fixed","MCMC"
13102.8,0.0268776,0.0241533,8630.11,0.5,"fixed","MCMC"
14430.1,0.0207914,0.0198387,8230.16,0.5,"fixed","MCMC"
12257.9,0.0318322,0.0283326,8482,0.5,"fixed","MCMC"
13312.1,0.0257857,0.0235749,8529.15,0.5,"fixed","MCMC"
14548.3,0.0202865,0.0197855,7921.69,0.5,"fixed","MCMC"
16722.8,0.0138933,0.0130957,8291.39,0.5,"fixed","MCMC"
15534.5,0.0172249,0.0155453,9060.61,0.5,"fixed","MCMC"
14475.1,0.020502,0.0204948,7517.08,0.5,"fixed","MCMC"
14521.5,0.0205765,0.0184477,8965.21,0.5,"fixed","MCMC"
13072.9,0.0269988,0.0254113,8210.46,0.5,"fixed","MCMC"
13224.9,0.0263327,0.021226,9432.89,0.5,"fixed","MCMC"
16756.1,0.0139609,0.0128829,8753.85,0.5,"fixed","MCMC"
